Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Autophagy	60/137	2.657713e-01	9.999969e-01	0	0	1.130423e+00	1.497945e+00	IRS1;PTEN;PIK3CB;IGF1R;RPTOR;STK11;DEPTOR;CTSL;AKT2;RB1CC1;AKT3;MLST8;AKT1;SUPT20H;PRKACA;HRAS;RAB8A;CTSB;GABARAPL2;RUBCN;MAP2K2;DAPK2;DAPK3;RRAS2;TSC1;WIPI1;WIPI2;ATG13;ERN1;PIK3CA;RRAGB;AKT1S1;ATG4C;ULK2;ATG4B;PRKCQ;ULK1;SMCR8;RAF1;RAB7B;SQSTM1;ATG4D;STX17;ITPR1;HIF1A;MAPK8;NRAS;ATG101;NRBF2;ATG7;MAPK3;IGBP1;UVRAG;CFLAR;VMP1;RPS6KB1;ATG16L1;RHEB;ATG2A;BCL2L1
KEGG_2021_Human	GnRH secretion	29/64	2.713717e-01	9.999969e-01	0	0	1.201714e+00	1.567354e+00	ITPR1;ITPR2;ARRB1;CACNA1D;ITPR3;ARRB2;PIK3CB;CACNA1C;CACNA1H;NRAS;AKT2;GPER1;AKT3;AKT1;KCNN2;CACNA1S;KCNN3;HRAS;KCNJ3;MAPK3;PRKCG;GABBR1;MAP2K2;ESR2;PLCB4;PIK3CA;PLCB1;RAF1;HCN2
KEGG_2021_Human	Vibrio cholerae infection	23/50	2.721252e-01	9.999969e-01	0	0	1.235405e+00	1.607871e+00	ATP6V1G1;ATP6AP1;KDELR1;ADCY3;TCIRG1;ACTB;PDIA4;SEC61A2;SEC61A1;ADCY9;ATP6V0A2;PLCG2;GNAS;ATP6V1H;KDELR3;PLCG1;PRKACA;ATP6V0D1;ATP6V0C;ATP6V0D2;ATP6V1D;ATP6V1C1;ATP6V1B1
KEGG_2021_Human	mTOR signaling pathway	67/154	2.741351e-01	9.999969e-01	0	0	1.117228e+00	1.445843e+00	PRR5;WNT2B;IRS1;PTEN;FZD10;PIK3CB;IGF1R;RPTOR;RPS6KA3;FLCN;RPS6KA6;STK11;DEPTOR;AKT2;AKT3;SESN2;GRB10;MLST8;AKT1;HRAS;PRKCG;ATP6V1G1;SEC13;MAP2K2;STRADA;TSC1;SLC7A5;PIK3CA;RRAGB;AKT1S1;ULK2;ULK1;RAF1;DEPDC5;EIF4E2;SGK1;SOS1;ATP6V1B1;CAB39;MAPKAP1;NPRL3;LRP5;SLC3A2;WDR24;LRP6;NRAS;DVL2;ATP6V1H;ATP6V1D;EIF4E;ATP6V1C1;EIF4B;MAPK3;FZD2;WDR59;FZD7;INSR;FZD6;BRAF;CASTOR1;RPS6KB1;RHEB;CASTOR2;GRB2;LAMTOR2;LAMTOR1;LPIN3
KEGG_2021_Human	Renal cell carcinoma	31/69	2.821560e-01	9.999969e-01	0	0	1.183166e+00	1.497054e+00	SLC2A1;TGFA;PIK3CB;HIF1A;FLCN;NRAS;AKT2;AKT3;AKT1;PAK6;ELOC;RAC1;VHL;HRAS;PAK2;MAPK3;PAK4;CREBBP;EGLN3;MAP2K2;TFE3;GAB1;ARNT;BRAF;PTPN11;PIK3CA;RAPGEF1;GRB2;RAF1;SOS1;MET
KEGG_2021_Human	Progesterone-mediated oocyte maturation	44/100	2.912794e-01	9.999969e-01	0	0	1.139629e+00	1.405701e+00	HSP90AB1;PDE3B;ADCY4;ADCY3;ADCY2;PIK3CB;PKMYT1;ANAPC10;ADCY6;GNAI1;IGF1R;ADCY5;GNAI2;RPS6KA3;STK10;RPS6KA6;CCNB1;MAPK8;AKT2;CDC26;AKT3;AKT1;PRKACA;BUB1;MAPK3;HSP90AA1;ANAPC7;PLK1;BRAF;KIF22;MAPK14;MAPK12;MAPK13;CCNA2;ADCY9;PIK3CA;CDC16;ANAPC4;ANAPC5;RAF1;CPEB3;MAD1L1;CPEB4;MAD2L1
KEGG_2021_Human	Acute myeloid leukemia	30/67	2.947429e-01	9.999969e-01	0	0	1.175900e+00	1.436540e+00	FLT3;PIK3CB;NRAS;AKT2;MYC;AKT3;PIM1;AKT1;HRAS;MAPK3;TCF7L1;MAP2K2;JUP;ZBTB16;STAT3;BRAF;DUSP6;NFKB1;PML;RUNX1;CCNA2;PER2;PIK3CA;RPS6KB1;KIT;RARA;GRB2;RAF1;SOS1;PPARD
KEGG_2021_Human	Aldosterone synthesis and secretion	43/98	3.023644e-01	9.999969e-01	0	0	1.133935e+00	1.356325e+00	ATF1;CAMK2B;SCARB1;DAGLA;CALML5;ITPR1;ADCY4;ITPR2;ADCY3;CACNA1D;ITPR3;ADCY2;CACNA1C;ATP1A1;CACNA1H;ADCY6;ADCY5;CREB3L3;CACNA1S;PRKACA;CAMK2G;LDLR;PRKCG;PRKCE;PDE2A;ATP2B4;ATP2B2;ATP2B1;ATP1B1;NR4A2;NR4A1;ADCY9;CREB1;PLCB4;GNAS;ORAI1;PRKD2;CALM3;CALM1;PLCB1;CALM2;KCNK3;ATF4
KEGG_2021_Human	Endometrial cancer	26/58	3.109948e-01	9.999969e-01	0	0	1.178270e+00	1.376194e+00	PTEN;PIK3CB;FOXO3;CASP9;NRAS;CDH1;AKT2;MYC;AKT3;CTNNA1;AKT1;CTNNA3;HRAS;MAPK3;APC2;TCF7L1;MAP2K2;AXIN1;BRAF;DDB2;GADD45G;PIK3CA;CTNNB1;GRB2;RAF1;SOS1
KEGG_2021_Human	Axon guidance	78/182	3.128090e-01	9.999969e-01	0	0	1.087950e+00	1.264375e+00	ITGB1;SEMA5B;NRP1;ROBO3;BMPR2;PIK3CB;ROBO1;SHH;RGS3;CFL1;RAC3;RAC1;HRAS;EPHB4;EPHB3;SEMA6B;EPHA4;EPHA7;EPHA6;SEMA6A;TRPC6;UNC5A;RHOD;MYL5;PIK3CA;RASA1;EPHA1;RAF1;MET;EPHA2;CAMK2B;SEMA3C;SEMA3D;SRC;SEMA3B;CXCR4;SEMA3E;SEMA3F;EFNA5;PRKCZ;NTN1;MYL12A;GNAI1;GNAI2;ABLIM1;NRAS;PARD6B;EFNB3;ABLIM2;ABLIM3;ABL1;PLCG2;SLIT1;PLXNA1;PAK6;SLIT3;PLCG1;SLIT2;SRGAP2;CAMK2G;PAK2;MAPK3;PAK4;NTNG1;NTNG2;SEMA4D;RYK;PTCH1;SEMA4B;NFATC2;PTPN11;L1CAM;BMP7;PTK2;NFATC4;EFNA1;EFNA3;PLXNB2
